"","YEAR","COMMUNITY_AREA","homicides"
"1",2019,"ALBANY PARK",2
"2",2019,"ARCHER HEIGHTS",3
"3",2019,"ARMOUR SQUARE",1
"4",2019,"ASHBURN",3
"5",2019,"AUBURN GRESHAM",25
"6",2019,"AUSTIN",40
"7",2019,"AVALON PARK",2
"8",2019,"AVONDALE",4
"9",2019,"BELMONT CRAGIN",7
"10",2019,"BRIDGEPORT",1
"11",2019,"BRIGHTON PARK",7
"12",2019,"CALUMET HEIGHTS",2
"13",2019,"CHATHAM",12
"14",2019,"CHICAGO LAWN",16
"15",2019,"CLEARING",1
"16",2019,"DOUGLAS",2
"17",2019,"DUNNING",3
"18",2019,"EAST GARFIELD PARK",18
"19",2019,"EAST SIDE",4
"20",2019,"ENGLEWOOD",25
"21",2019,"FULLER PARK",2
"22",2019,"GAGE PARK",3
"23",2019,"GRAND BOULEVARD",4
"24",2019,"GREATER GRAND CROSSING",25
"25",2019,"HERMOSA",4
"26",2019,"HUMBOLDT PARK",32
"27",2019,"IRVING PARK",5
"28",2019,"JEFFERSON PARK",1
"29",2019,"LAKE VIEW",1
"30",2019,"LINCOLN PARK",3
"31",2019,"LINCOLN SQUARE",2
"32",2019,"LOGAN SQUARE",6
"33",2019,"LOWER WEST SIDE",4
"34",2019,"MCKINLEY PARK",3
"35",2019,"MORGAN PARK",3
"36",2019,"NEAR NORTH SIDE",7
"37",2019,"NEAR WEST SIDE",13
"38",2019,"NEW CITY",15
"39",2019,"NORTH LAWNDALE",28
"40",2019,"OAKLAND",1
"41",2019,"PORTAGE PARK",1
"42",2019,"PULLMAN",3
"43",2019,"RIVERDALE",3
"44",2019,"ROGERS PARK",2
"45",2019,"ROSELAND",24
"46",2019,"SOUTH CHICAGO",12
"47",2019,"SOUTH DEERING",4
"48",2019,"SOUTH LAWNDALE",14
"49",2019,"SOUTH SHORE",20
"50",2019,"UPTOWN",4
"51",2019,"WASHINGTON HEIGHTS",13
"52",2019,"WASHINGTON PARK",9
"53",2019,"WEST ELSDON",1
"54",2019,"WEST ENGLEWOOD",25
"55",2019,"WEST GARFIELD PARK",31
"56",2019,"WEST LAWN",1
"57",2019,"WEST PULLMAN",13
"58",2019,"WEST RIDGE",3
"59",2019,"WEST TOWN",7
"60",2019,"WOODLAWN",5
"61",2020,"ALBANY PARK",6
"62",2020,"ARMOUR SQUARE",6
"63",2020,"ASHBURN",2
"64",2020,"AUBURN GRESHAM",37
"65",2020,"AUSTIN",77
"66",2020,"AVALON PARK",6
"67",2020,"AVONDALE",2
"68",2020,"BELMONT CRAGIN",5
"69",2020,"BEVERLY",1
"70",2020,"BRIDGEPORT",5
"71",2020,"BRIGHTON PARK",8
"72",2020,"BURNSIDE",8
"73",2020,"CALUMET HEIGHTS",2
"74",2020,"CHATHAM",27
"75",2020,"CHICAGO LAWN",21
"76",2020,"CLEARING",3
"77",2020,"DOUGLAS",6
"78",2020,"EAST GARFIELD PARK",24
"79",2020,"EAST SIDE",4
"80",2020,"ENGLEWOOD",34
"81",2020,"FOREST GLEN",2
"82",2020,"FULLER PARK",3
"83",2020,"GAGE PARK",9
"84",2020,"GARFIELD RIDGE",1
